slot,name,nucleophile,lewis,base,hydroxyl,mechanism,note
catalyst_1_name,tetrabutylammonium bromide,2,0,0,0,NUC,
catalyst_1_name,choline iodide,3,0,0,0,NUC,
catalyst_1_name,ethylenediaminetetraacetic acid,0,0,0,0,NOT_CAT,matched non-catalyst list
catalyst_1_name,tetra-(n-butyl)ammonium iodide,3,0,0,0,NUC,
catalyst_1_name,tetra-n-propylammonium bromide,2,0,0,0,NUC,
catalyst_1_name,potassium iodide,3,0,0,0,NUC,
catalyst_1_name,"1,1,3,3-tetramethylguanidine",0,0,1,0,BAS,
catalyst_1_name,zinc chloride,1,1,0,0,BIF,
catalyst_1_name,cobalt-impregnated 2D material,0,1,0,0,LAC,
catalyst_1_name,tetramethylammonium picolinate,0,0,0,0,OTH,
catalyst_1_name,zinc dibromide,0,1,0,0,LAC,
catalyst_1_name,imidazolium,0,0,0,0,OTH,
catalyst_1_name,triethylamine,0,0,1,0,BAS,
catalyst_1_name,zinc phenanthroline dione,0,1,0,0,LAC,
catalyst_1_name,triphenylphosphine,0,0,0,0,OTH,
catalyst_1_name,tetraethylammonium bromide,2,0,0,0,NUC,
catalyst_1_name,tri-n-butyl(2-hydroxyethyl)phosphonium iodide,3,0,0,0,NUC,
catalyst_1_name,3-hydroxy-N-octylpyridinium iodide,3,0,0,1,BIF,
catalyst_1_name,tetraheptylammonium bromide,2,0,0,0,NUC,
catalyst_1_name,DMAP,0,0,1,0,BAS,
catalyst_1_name,bis(2-hydroxyethyl) bis-(quaternary ammonium)iodide,3,0,0,0,NUC,
catalyst_1_name,(triphenylphosphoranylidene)acetaldehyde,0,0,0,0,OTH,
catalyst_1_name,imidazolium bromide,2,0,0,0,NUC,
catalyst_1_name,octyl-(2-hydroxyethyl)-dimethylammonium bromide,2,0,0,0,NUC,
catalyst_1_name,pyridine,0,0,1,0,BAS,
catalyst_1_name,imidazolium chloride,1,0,0,0,NUC,
catalyst_1_name,tri-n-butyl(2-hydroxyethyl)ammonium iodide,3,0,0,0,NUC,
catalyst_1_name,zinc diiodide,0,1,0,0,LAC,
catalyst_1_name,1-methyl-3-(3-phenylthioureido)pyridinium iodide,3,0,0,0,NUC,
catalyst_1_name,ethylpyridinium bromide,2,0,0,0,NUC,
catalyst_1_name,1-methyl-1-N-propylpyrrolidinium bromide,2,0,0,0,NUC,
catalyst_1_name,"1,8-diazabicyclo[5.4.0]undec-7-ene",0,0,1,0,BAS,
catalyst_1_name,DABCO,0,0,1,0,BAS,
catalyst_1_name,"2,4,6-triamino-s-triazine",0,0,1,0,BAS,
catalyst_1_name,sodium bromide,2,0,0,0,NUC,
catalyst_1_name,triethanolammonium iodide,0,0,0,0,NOT_CAT,matched non-catalyst list
catalyst_1_name,tetrahexylammonium bromide,2,0,0,0,NUC,
catalyst_1_name,salen,0,1,0,0,LAC,
catalyst_1_name,tetraphenylstibonium bromide,2,0,0,0,NUC,
catalyst_1_name,tetrabutylammonium chloride,1,0,0,0,NUC,
catalyst_1_name,18-crown-6 ether,0,0,0,0,NOT_CAT,matched non-catalyst list
catalyst_1_name,tetra-(n-butyl)ammonium hydroxide,0,0,0,0,OTH,
catalyst_1_name,1-hexyl-3-methylimidazolium hydrogencarbonate,0,0,0,0,OTH,
catalyst_1_name,sodium iodide,3,0,0,0,NUC,
catalyst_1_name,1-butyl-3-methylimidazolium bromide,2,0,0,0,NUC,
catalyst_1_name,lithium bromide,2,0,0,0,NUC,
catalyst_1_name,choline chloride-PEG600,1,0,0,0,NUC,
catalyst_1_name,4-(N-imidazolyl)butyric acid hydrobromide,0,0,0,0,OTH,
catalyst_1_name,"tetrahydrofuran-2,5-dimethanol",0,0,0,0,NOT_CAT,matched non-catalyst list
catalyst_1_name,"2,5-dihydroxyterephthalohydrazide",0,0,0,0,OTH,
catalyst_1_name,N-bromosuccinimide,0,0,0,0,OTH,
catalyst_1_name,1-ethyl-1-methylpyrrolidinium bromide,2,0,0,0,NUC,
catalyst_1_name,magnesium chloride,1,1,0,0,BIF,
catalyst_1_name,magnesium oxide,0,1,0,0,LAC,
catalyst_1_name,phenyltrimethylammonium tribromide,0,0,0,0,OTH,
catalyst_1_name,bromopentacarbonylrhenium,0,0,0,0,OTH,
catalyst_1_name,PEG6000(NBu3Br)2,2,0,1,0,BAS,
catalyst_1_name,polyethylene glycol-supported hexaalkylguanidinium bromide,2,0,1,1,BIF,
catalyst_1_name,1-butyl-3-methylimidazolium alanine,0,0,0,0,OTH,
catalyst_1_name,BrTBDPEG150TBDBr,0,0,1,0,BAS,
catalyst_1_name,1-ethyl-3-methylimidazolium bromide,2,0,0,0,NUC,
catalyst_1_name,N-trimethylanilinium bromide,2,0,0,0,NUC,
catalyst_1_name,iron(II) chloride,1,1,0,0,BIF,
catalyst_1_name,pyridinium,0,0,0,0,OTH,
catalyst_1_name,2-morpholinoethanol hydriodide,0,0,0,0,NOT_CAT,matched non-catalyst list
catalyst_1_name,"N,N-dimethyl-N(pyrenyl-1-methyl) dodecan-1-ammonium bromide",2,0,0,0,NUC,
catalyst_1_name,tetramethylammonium bromide,2,0,0,0,NUC,
catalyst_1_name,BMIM,0,0,0,0,OTH,
catalyst_1_name,methyltrioctylammonium hydroquinolate,0,0,0,0,OTH,
catalyst_1_name,1-butyl-1-methylpiperidinium bromide,2,0,0,0,NUC,
catalyst_1_name,tetrabutylammonium iodide,3,0,0,0,NUC,
catalyst_1_name,L-arginine,0,0,0,0,OTH,
catalyst_1_name,iron(III) chloride,1,1,0,0,BIF,
catalyst_1_name,N-trimethylethan-1-aminium iodide,3,0,0,0,NUC,
catalyst_1_name,1-hexyl-3-methylimidazolium tetrafluoroborate,0,0,0,0,OTH,
catalyst_1_name,zinc acetate,0,1,0,0,LAC,
catalyst_1_name,aluminum chloride,1,1,0,0,BIF,
catalyst_1_name,tetraphenylphosphonium bromide,2,0,0,0,NUC,
catalyst_1_name,tetraoctyl ammonium bromide,2,0,0,0,NUC,
catalyst_1_name,ethyl acetate,0,0,0,0,NOT_CAT,matched non-catalyst list
catalyst_1_name,zinc iodide,3,1,0,0,BIF,
catalyst_2_name,silanol catalyst,0,0,0,1,BAS,
catalyst_2_name,Jacobsen Co-salen,0,1,0,0,LAC,
catalyst_2_name,nickel(II) chloride,1,1,0,0,BIF,
catalyst_2_name,sodium chloride,1,0,0,0,NUC,
catalyst_2_name,Al-salan complex,0,1,0,0,LAC,
catalyst_2_name,copper cobaltite,0,1,0,0,LAC,
catalyst_2_name,cobalt(II) nitrate,0,1,0,0,LAC,
catalyst_2_name,dibenzoyl peroxide,0,0,0,0,OTH,
catalyst_2_name,1-methylpiperidinium bromide,2,0,0,0,NUC,
catalyst_2_name,tetrahydroxydiboron,0,0,0,0,OTH,
catalyst_3_name,[BMIM]Br,2,0,0,0,NUC,
