row_id,reactant_name,product_name,yield (%),temperature (℃),pressure (MPa),time (h),catalyst_1_name,catalyst_1_loading_mol%,catalyst_2_name,catalyst_2_loading_mol%,catalyst_3_name,catalyst_3_loading_mol%,catalyst_4_name,catalyst_4_loading_mol%,reagent_1_name,reagent_2_name,solvent_1,solvent_2,solvent_3,solvent_4,reference,publication_year,extraction_status,catalyst_system_type,all_solvents_normalized
1,Styrene oxide,"4-phenyl-1,3-dioxolan-2-one",100.0,80.0,7.99996,4.0,tetrabutylammonium bromide,,zinc dibromide,,,,,,,,,,,,"Sun, Jianmin; Fujita, Shin-Ichiro; Zhao, Fengyu; Hasegawa, Masashi; Arai, Masahiko; Journal of Catalysis; vol. 230; nb. 2; (2005); p. 398 - 405",2005,valid,mixed_system,
2,Styrene oxide,"4-phenyl-1,3-dioxolan-2-one",100.0,60.0,0.50001,24.0,tetrabutylammonium bromide,,,,,,,,,,cyclohexane,,,,"Mechanism, Reagent/catalyst, Temperature, Pressure Beattie, Christopher; North, Michael; Villuendas, Pedro; Young, Carl; Journal of Organic Chemistry; vol. 78; nb. 2; (2013); p. 419 - 426",2013,valid,ionic_liquid,cyclohexane
3,Styrene oxide,"4-phenyl-1,3-dioxolan-2-one",100.0,105.0,0.10133,20.0,tetrabutylammonium bromide,,,,,,,,,,,,,,"Biswas, Tanmoy; Mahalingam, Venkataramanan; New Journal of Chemistry; vol. 41; nb. 24; (2017); p. 14839 - 14842",2017,valid,ionic_liquid,
4,Styrene oxide,"4-phenyl-1,3-dioxolan-2-one",100.0,110.0,5.67457,24.0,tetrabutylammonium bromide,,,,,,,,,,dichloromethane,,,,"Lyubimov; Sokolovskaya; Chowdhury; Arzumanyan; Tukhvatshin; Ibragimova; Tyutyunov; Davankov; Muza‐ farov; Russian Chemical Bulletin; vol. 68; nb. 10; (2019); p. 1866 - 1868; Izv. Akad. Nauk, Ser. Khim.; vol. 68; nb. 10; (2019); p. 1866 - 1868,3",2019,valid,ionic_liquid,dichloromethane
8,Styrene oxide,"4-phenyl-1,3-dioxolan-2-one",99.0,85.0,1.00001,6.0,choline iodide,,,,,,,,,,ethanol,,,,"Temperature, Reagent/catalyst Amaral, Adérito J.R.; Coelho, Jorge F.J.; Serra, Arménio C.; Tetrahedron Letters; vol. 54; nb. 40; (2013); p. 5518 -5522",2013,valid,ionic_liquid,ethanol
13,Styrene oxide,"4-phenyl-1,3-dioxolan-2-one",99.0,70.0,0.50001,24.0,ethylenediaminetetraacetic acid,,tetrabutylammonium bromide,,,,,,,,water,ethyl acetate,,,"Auto‐ clave, Catalytic behavior, Reagent/catalyst, Temperature, Pressure Liu, Xiao-Fang; Song, Qing-Wen; Zhang, Shuai; He, Liang-Nian; Catalysis Today; vol. 263; (2016); p. 69 - 74",2016,valid,ionic_liquid,water; ethyl acetate
15,Styrene oxide,"4-phenyl-1,3-dioxolan-2-one",99.0,100.0,1.00001,12.0,tetrabutylammonium bromide,,,,,,,,,,water,DMF,,,"Catalytic behavior, Reagent/catalyst, Concentration PatentUNIV DALIAN TECH; DALIAN UNIVERSITY OF TECHNOLOGYDalian University of Technology; CN105348071; (2016); (A) ChineseDALIAN UNIVERSITY OF TECHNOLOGY",2016,valid,ionic_liquid,water; DMF
16,Styrene oxide,"4-phenyl-1,3-dioxolan-2-one",99.0,60.0,0.10133,15.0,tetra-(n-butyl)ammonium iodide,,silanol catalyst,,tetrabutylammonium iodide,,,,,,无溶剂,,,,"Re‐ agent/catalyst Velásquez-Hernández, Miriam de J.;Torres-Huerta, Aarón;Hernández-Balderas, Uvaldo;Martínez-Otero, Die‐ go;Nú?ez-Pineda, Alejandra;Jancik, Vojtech; Polyhedron; vol. 122; (2017); p. 161 - 171",2017,valid,ionic_liquid,无溶剂
17,Styrene oxide,"4-phenyl-1,3-dioxolan-2-one",99.0,100.0,0.10133,12.0,tetrabutylammonium bromide,,,,,,,,,,,,,,"Catalytic behavior, Kinetics, Temperature, Time, Pressure Ai, Jing; Min, Xue; Gao, Chao-Ying; Tian, Hong-Rui; Dang, Song; Sun, Zhong-Ming; Dalton Transactions; vol. 46; nb. 20; (2017); p. 6756 - 6761",2017,valid,ionic_liquid,
18,Styrene oxide,"4-phenyl-1,3-dioxolan-2-one",99.0,140.0,1.00001,8.0,tetra-n-propylammonium bromide,,,,,,,,,,,,,,"Zhao, Qing-Ning; Song, Qing-Wen; Liu, Ping; Zhang, Qian-Xia; Gao, Jun-Hua; Zhang, Kan; Chinese Journal of Chemistry; vol. 36; nb. 3; (2018); p. 187 - 193",2018,valid,ionic_liquid,
